ad_id;tag_id
85801;169
85801;170
85801;171
85801;172
85801;173
85896;175
85896;177
85896;178
85896;179
85896;174
85896;176
85896;180
85896;181
85917;213
85971;184
85971;185
85971;186
85983;189
85983;190
85983;191
85983;189
85983;191
85983;189
85983;191
85998;187
85998;92
85998;187
85998;92
85998;187
85998;92
85998;187
85998;92
85998;188
86106;192
86106;193
86106;195
86106;192
86106;193
86106;195
86106;192
86106;193
86106;195
86106;192
86106;193
86106;194
86106;192
86106;193
86106;194
86106;192
86106;193
86106;195
86106;192
86106;193
86106;195
86106;193
86106;192
86106;195
86106;192
86106;193
86106;195
86106;194
86106;192
86106;193
86106;192
86106;193
86106;195
86193;206
86193;200
86193;200
86193;206
86161;200
86161;201
86161;202
86246;210
86246;211
86246;212
86246;213
86246;214
85956;182
85956;183
86162;198
86162;199
86331;218
86331;219
86331;220
86273;216
86273;217
86257;215
86257;183
86412;222
86412;223
86412;222
86412;223
86412;222
86412;223
86412;222
86412;223
86412;222
86412;223
86234;207
86234;208
86234;209
86423;207
86423;224
86423;207
86423;208
86423;209
86484;227
86484;226
86484;229
86484;225
86484;226
86484;230
86484;231
86484;225
86484;226
86484;228
86509;232
86509;92
86509;233
86509;234
86509;232
86509;92
86509;235
86509;233
86509;232
86509;92
86509;232
86509;92
86509;234
86509;232
86509;235
86509;234
86509;92
86647;236
86647;237
86647;236
86647;237
86647;236
86647;237
86647;236
86647;237
86660;238
86660;239
86660;240
86660;205
86713;241
86713;242
86713;244
86713;241
86713;242
86713;244
86713;241
86713;243
86713;244
86738;241
86813;246
86813;247
86813;248
86794;245
86873;6
86873;7
86873;252
86873;111
86873;112
86873;113
86873;573
86876;186
86876;254
86876;185
86876;175
86876;177
86876;178
86876;179
86891;256
86894;5
86894;259
86894;260
86894;257
86894;258
86745;203
86745;205
86931;261
86931;213
86931;5
86942;102
86942;103
86942;104
86942;105
86942;96
86942;39
86942;106
86942;262
86942;263
86979;264
87000;265
87000;266
87117;267
87117;268
87126;271
87126;272
87126;269
87126;270
87118;175
87118;179
87118;178
87118;177
87118;175
87118;177
87118;178
87118;179
87118;175
87118;175
87118;177
87118;179
87118;178
87150;255
87150;275
87150;276
87150;253
87150;255
87175;277
87175;278
87175;279
87175;280
87143;273
87143;92
87143;274
87180;281
87180;282
87183;283
87183;284
87183;285
87183;286
87183;203
87183;205
87207;288
87207;289
87207;290
87207;5
87207;291
87207;5
87207;287
87209;431
87209;432
87208;288
87208;289
87208;290
87208;5
87208;291
87208;5
87208;287
87258;292
87258;293
87258;294
87258;295
87275;296
87275;297
87275;298
87275;92
87292;191
87292;299
87292;300
87565;312
87565;313
87587;314
87587;315
87646;316
87648;111
87648;119
87648;112
87648;120
87648;121
87426;307
87426;308
87426;309
87426;307
87426;308
87426;309
87426;310
87192;5
87192;287
87421;94
87421;304
87421;205
87421;213
87421;305
87421;306
87711;94
87711;95
87711;96
87711;39
87810;327
87810;330
87810;332
87810;331
87810;327
87810;337
87810;331
87810;329
87810;332
87810;330
87810;331
87810;327
87810;331
87810;330
87810;332
87810;327
87810;332
87810;330
87810;331
87810;327
87810;330
87810;332
87810;331
87810;327
87810;292
87810;330
87810;331
87810;329
87810;331
87810;285
87810;334
87860;338
87860;339
87865;340
87865;341
87876;342
87876;343
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87876;342
87805;326
87805;321
87805;322
87805;323
87805;324
87805;325
87969;353
87969;354
87969;355
87965;344
87965;345
87965;346
87965;198
87965;347
87965;348
87965;351
87965;349
87965;346
87965;352
87965;349
87965;350
87965;346
87990;356
87990;357
88028;358
88028;359
88028;360
88028;359
88028;360
88052;364
88052;365
88052;366
88052;367
88090;658
88090;659
88098;368
88098;369
88125;213
88125;305
88125;306
88125;94
88125;304
88125;205
87738;319
87738;320
87738;315
88453;236
88453;371
88453;237
88453;236
88453;371
88453;237
88507;347
88507;372
88507;373
88507;374
88507;198
88507;372
88507;198
88507;374
88507;372
88507;198
88507;374
88512;375
88512;376
88512;377
88544;378
88602;379
88602;380
88602;389
88602;390
88602;391
88602;381
88602;382
88602;383
88602;386
88602;387
88602;388
88602;384
88602;382
88602;385
88613;392
88613;393
88626;394
88626;395
88680;396
88680;309
88680;398
88680;399
88680;397
88680;396
88680;309
88680;397
88680;398
88680;396
88680;309
88680;398
88680;397
88680;309
88680;396
88697;400
88697;401
88703;213
88703;305
88703;306
88703;402
88762;406
88762;407
88762;408
88762;406
88762;407
88762;408
88762;408
88762;407
88762;408
88762;407
88762;408
88762;407
88762;407
88762;408
88762;407
88762;408
88762;407
88762;408
88762;407
88762;409
88933;410
88933;410
89007;411
89007;413
89007;412
89007;411
89007;412
89007;413
89033;281
89033;282
89033;415
89050;416
89050;417
89050;418
89050;1155
89050;1156
88049;361
88049;362
88049;363
89107;419
89107;420
89107;419
89107;420
89107;419
89107;420
89107;419
89107;420
89107;419
89107;420
89107;420
89107;419
89107;420
89107;419
88721;403
88721;404
88721;405
89102;405
89102;414
89220;423
89220;424
89220;291
89220;309
89204;421
89204;422
89341;425
89341;426
89341;427
89341;428
89341;429
89368;430
89359;431
89359;432
89377;433
89377;309
89377;434
89377;435
89764;436
89765;436
89776;437
89776;438
89830;439
89871;261
89871;213
89871;5
89960;440
89960;440
89960;5
89960;441
89960;6
89960;442
90019;186
90019;254
90019;185
88289;370
90058;444
90058;445
90058;370
90058;446
90058;447
90045;443
90045;449
90045;443
90045;449
90045;443
90045;443
90045;443
90045;443
90045;443
90045;443
90045;449
90045;443
90045;443
90061;215
90061;183
90221;448
90221;448
90221;448
90243;658
90243;659
90253;450
90253;420
90253;450
90253;420
90350;453
90350;5
90350;454
90350;453
90350;5
90350;456
90350;457
90350;458
90350;459
90350;453
90350;5
90350;455
90365;460
90365;190
90365;190
90365;460
90425;420
90425;461
90425;462
90425;463
90425;420
90425;461
90435;465
90435;466
90435;464
90435;467
90435;113
90461;468
90461;469
90518;470
90518;471
90518;472
90528;658
90528;659
90530;473
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;405
90553;474
90553;403
90553;405
90553;474
90553;405
90553;474
90713;658
90713;659
90778;114
90778;115
90836;475
90836;476
90836;477
90836;478
90836;475
90836;476
90836;477
90836;478
90836;475
90836;476
90836;479
90854;92
90854;481
90854;92
90854;481
90854;482
90854;92
90854;481
90854;482
90924;483
90924;484
90924;485
90924;483
90924;484
90924;485
90924;483
90924;484
90924;485
90924;483
90924;484
90924;485
90924;483
90924;484
90924;485
90924;483
90924;485
90957;486
90957;487
90957;488
91015;489
91015;490
91053;5
91108;658
91108;659
91108;660
91108;661
91135;491
91135;111
91135;491
91135;111
91135;186
86189;203
86189;205
90851;480
90851;309
90851;760
90851;761
90851;1035
91139;269
91316;493
91316;494
91316;495
91316;496
91341;497
91341;498
91379;213
91379;499
91379;500
91379;501
91474;502
91474;503
91474;502
91474;502
91474;502
91474;502
91587;511
91587;510
91587;510
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91609;512
91503;439
91697;513
91697;513
91697;513
91723;276
91723;514
91723;515
91723;516
91723;310
91723;517
91723;518
91723;519
91738;770
91738;106
91738;771
91746;257
91914;520
91914;521
91914;520
91914;521
91914;520
91914;523
91914;520
91914;522
91914;520
91914;522
91914;520
91914;521
86354;213
86354;221
86354;205
91967;214
91967;524
91967;524
91967;524
91967;524
92002;5
92060;528
92060;530
92060;528
92060;529
92060;528
92130;531
92130;532
92253;421
92253;422
92254;6
92254;7
92477;658
92477;659
92477;660
92477;661
92481;658
92481;659
92589;535
92589;536
92252;525
92252;534
92671;537
92671;537
92671;537
92671;537
92671;537
92671;537
92737;539
92737;541
92737;543
92737;539
92737;540
92737;542
92737;539
92737;540
92737;543
92756;544
92756;545
92849;658
92849;659
92891;545
92956;550
92956;551
92956;552
92956;550
92956;551
92956;552
92956;550
92956;551
92956;553
92977;554
92977;555
92982;537
92982;537
92990;556
92990;557
92993;400
92993;558
92993;559
93177;561
93177;562
93177;563
93177;561
93177;562
93177;563
93269;658
93269;659
93335;567
93335;568
93335;567
93335;568
93335;213
93335;111
92888;546
